"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2023","279.43","278.26","283.33","276.32","69.53M","1.17%"
"03/16/2023","276.20","265.20","276.56","263.28","53.64M","4.05%"
"03/15/2023","265.44","259.98","266.48","259.21","45.77M","1.78%"
"03/14/2023","260.79","256.75","261.07","255.86","33.34M","2.71%"
"03/13/2023","253.92","247.40","257.91","245.73","33.34M","2.14%"
"03/10/2023","248.59","251.08","252.79","247.60","28.33M","-1.48%"
"03/09/2023","252.32","255.82","259.56","251.58","26.48M","-0.54%"
"03/08/2023","253.70","254.04","254.54","250.81","17.34M","-0.18%"
"03/07/2023","254.15","256.30","257.69","253.39","21.47M","-1.06%"
"03/06/2023","256.87","256.42","260.12","255.98","24.11M","0.62%"
"03/03/2023","255.29","252.19","255.62","251.39","29.28M","1.66%"
"03/02/2023","251.11","246.55","251.40","245.61","24.75M","1.97%"
"03/01/2023","246.27","250.76","250.93","245.79","26.53M","-1.26%"
"02/28/2023","249.42","249.07","251.49","248.73","22.49M","-0.30%"
"02/27/2023","250.16","252.46","252.82","249.39","21.19M","0.38%"
"02/24/2023","249.22","249.96","251.00","248.10","24.99M","-2.18%"
"02/23/2023","254.77","255.56","256.84","250.48","29.22M","1.30%"
"02/22/2023","251.51","254.09","254.34","250.34","22.49M","-0.46%"
"02/21/2023","252.67","254.48","255.49","251.59","28.40M","-2.09%"
"02/17/2023","258.06","259.39","260.09","256.00","30.00M","-1.56%"
"02/16/2023","262.15","264.02","266.74","261.90","29.19M","-2.66%"
"02/15/2023","269.32","268.32","270.73","266.18","28.36M","-1.05%"
"02/14/2023","272.17","272.67","274.97","269.28","37.05M","0.31%"
"02/13/2023","271.32","267.64","274.60","267.15","44.43M","3.12%"
"02/10/2023","263.10","261.53","264.09","260.66","25.82M","-0.20%"
"02/09/2023","263.62","273.80","273.98","262.80","39.68M","-1.17%"
"02/08/2023","266.73","273.20","276.76","266.21","54.25M","-0.31%"
"02/07/2023","267.56","260.53","268.77","260.08","50.45M","4.20%"
"02/06/2023","256.77","257.44","258.30","254.78","22.44M","-0.61%"
"02/03/2023","258.35","259.54","264.20","257.10","29.08M","-2.36%"
"02/02/2023","264.60","258.82","264.69","257.25","39.18M","4.69%"
"02/01/2023","252.75","248.00","255.18","245.47","29.93M","1.99%"
"01/31/2023","247.81","243.45","247.95","242.95","26.54M","2.10%"
"01/30/2023","242.71","244.51","245.60","242.20","25.69M","-2.20%"
"01/27/2023","248.16","248.99","249.83","246.83","26.50M","0.06%"
"01/26/2023","248.00","243.65","248.31","242.00","33.16M","3.07%"
"01/25/2023","240.61","234.48","243.30","230.90","66.36M","-0.59%"
